user_id,username,has_recent_events,repos_starred,recent_push_events,commits,prs_merged,activity_date
5,ezmobius,False,0,0,0,0,
6,ivey,True,61,0,0,0,2026-08-23T23:02:17Z
7,evanphx,True,148,0,0,0,2026-09-16T15:55:04Z
17,vanpelt,True,761,0,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,True,236,0,0,0,2026-09-14T22:17:09Z
19,brynary,True,1652,0,0,0,2026-09-16T14:23:08Z
20,kevinclark,True,25,0,0,0,2026-09-15T02:08:00Z
21,technoweenie,False,0,0,0,0,
22,macournoyer,True,330,0,0,0,2026-09-14T23:22:13Z
23,takeo,False,0,0,0,0,
25,caged,True,1379,0,0,0,2026-09-05T12:41:43Z
26,topfunky,True,1002,0,0,0,2026-09-16T01:46:57Z
27,anotherjesse,False,0,0,0,0,
28,roland,False,0,0,0,0,
29,lukas,True,82,0,0,0,2026-09-15T04:19:34Z
30,fanvsfan,False,0,0,0,0,
31,tomtt,False,0,0,0,0,
32,railsjitsu,False,0,0,0,0,
34,nitay,True,91,0,0,0,2026-09-11T17:34:07Z
35,kevwil,False,0,0,0,0,
36,KirinDave,False,0,0,0,0,
37,jamesgolick,False,0,0,0,0,
38,atmos,False,0,0,0,0,
45,sethfitz,True,1450,0,0,0,2026-09-16T14:16:52Z
46,bmizerany,True,217,0,0,0,2026-08-30T19:55:23Z
47,jnewland,True,1059,0,0,0,2026-08-27T20:01:22Z
48,joshknowles,False,0,0,0,0,
49,hornbeck,False,0,0,0,0,
50,jwhitmire,False,0,0,0,0,
51,elbowdonkey,False,0,0,0,0,
52,reinh,False,0,0,0,0,
53,knzai,False,0,0,0,0,
68,bs,True,447,0,0,0,2026-09-08T23:52:46Z
